"number","date","name","form","address","types_of_service","inn","ogrn","status","date_of_changes","basis_for_entry","date_of_exclusion","basis_for_exception"
"1","19.07.2010","Автономная некоммерческая организация негосударственного дополнительного профессионального образования Учебный центр по охране труда \"Аналитика труд","Автономная некоммерческая организация","170034, Тверь, пр-кт Победы, д.7, офис 708","Обучение работодателей и работников вопросам охраны труда","6950026512","1096900000020","Действующая организация","","","",""
"3","22.07.2010","Государственное автономное образовательное учреждение дополнительного профессионального образования  \"Институт регионального развития Пензенской области","Автономная некоммерческая организация","440049, Пензенская область, Пенза, Попова , 40,","Обучение работодателей и работников вопросам охраны труда","5837001190","1025801444448","Действующая организация","","","",""
"4","22.07.2010","Автономная некоммерческая организация \"Институт безопасности труда","Автономная некоммерческая организация","107023, Москва, Москва, Барабанный пер., 4, 8","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7714593430","1057746407223","Действующая организация","","","",""
"5","22.07.2010","Государственное образовательное учреждение высшего профессионального образования \"Пензенский государственный университет","Государственное бюджетное учреждение","440026, Пензенская область, Пенза,  Красная, 40,","Обучение работодателей и работников вопросам охраны труда","5837003736","1025801440620","Действующая организация","","","",""
"6","26.07.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Учебный центр МАЭБ","Автономная некоммерческая организация","196084, Санкт-Петербург, а\\я 97","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7810608255","1167800054135","Действующая организация","","","",""
"7","27.07.2010","Приморский филиал федерального государственного бюджетного образовательного учреждения высшего образования \"Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации","Государственное бюджетное учреждение","690034, Приморский край, Владивосток,  Стрелковая, 14,","Обучение работодателей и работников вопросам охраны труда","7729050901","1027739610018","Действующая организация","","","",""
"8","28.07.2010","Автономная некоммерческая организация дополнительного профессионального образования Уфимский учебный центр \"Башнефтехим","Автономная некоммерческая организация","450029, Республика Башкортостан, Уфа, Ульяновых, 65,","Обучение работодателей и работников вопросам охраны труда","277923288","1170280060015","Действующая организация","","","",""
"9","28.07.2010","Государственное бюджетное образовательное учреждение города Москвы дополнительного профессионального образования  Центр профессиональных квалификаций и содействия трудоустройству \"Профессионал","Государственное бюджетное учреждение","109377, Москва, Москва, Академика Скрябина, 9,","Обучение работодателей и работников вопросам охраны труда","7721062052","1027739407948","Действующая организация","","","",""
"11","29.07.2010","Частное негосударственное учреждение дополнительного профессионального образования \"Техникум-предприятие","ПО Негосударственное образовательное учреждение  профессионального образоваия","628481, Ханты-Мансийский АО, Когалым,  Мира , 52,","Обучение работодателей и работников вопросам охраны труда","8608208575","1028601442946","Действующая организация","","","",""
"10","28.07.2010","Государственное учреждение \"Областной учебно-методический исследовательский центр охраны труда и социального партнерства","Государственное бюджетное учреждение","603022, Нижегородская область, Нижний Новгород, Окский съезд, 2,  226","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5262048489","1025203722004","Исключена из реестра","","","26.01.2018","Заявление организации №  абз. 3 пункта 20 Правил, утв. приказом № 205н"
"14","30.07.2010","Автономная некоммерческая организация Дополнительного проессионального образования Учебно-технический центр \"Сварка и контроль","Автономная некоммерческая организация","440068, Пензенская область, Пенза,  Терешковой, 7,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5837016608","1025801438783","Действующая организация","","","",""
"15","30.07.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Подольский региональный учебно-методический центр","Автономная некоммерческая организация","142100, Московская область, Подольск, Февральская, 57, 5","Обучение работодателей и работников вопросам охраны труда","5036048728","1035007205090","Действующая организация","","","",""
"12","29.07.2010","Государственное автономное образовательное учреждение дополнительного профессионального образования Курской области \"Курский областной центр подготовки и переподготовки кадров жилищно-коммунального хозяйства","Автономная некоммерческая организация","305004, Курская область, Курск, Ахтырская, 15А,","Обучение работодателей и работников вопросам охраны труда","4632000041","1024600946369","Действующая организация","","","",""
"16","02.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Дом науки и Техники","ПО Негосударственное образовательное учреждение  профессионального образоваия","400005, Волгоградская область, Волгоград, им. Глазкова, 14,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3444143729","1073400000497","Действующая организация","","","",""
"17","02.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Школа безопасности","Общество с дополнительной ответственностью","141607, Московская область, Клин, Дзержинского, 6а,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5020081007","1165000052470","Действующая организация","","","",""
