"number","date","name","form","address","types_of_service","inn","ogrn","status","date_of_changes","basis_for_entry","date_of_exclusion","basis_for_exception"
"2","19.07.2010","Акционерное общество \"Клинский институт охраны и условий труда","Закрытое акционерное общество","125252, Москва, Москва, проезд Березовой рощи, 4, офис 201","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","5020034631","1035003952477","Действующая организация","","","",""
"4","22.07.2010","Автономная некоммерческая организация \"Институт безопасности труда","Автономная некоммерческая организация","107023, Москва, Москва, Барабанный пер., 4, 8","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7714593430","1057746407223","Действующая организация","","","",""
"6","26.07.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Учебный центр МАЭБ","Автономная некоммерческая организация","196084, Санкт-Петербург, а\\я 97","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7810608255","1167800054135","Действующая организация","","","",""
"10","28.07.2010","Государственное учреждение \"Областной учебно-методический исследовательский центр охраны труда и социального партнерства","Государственное бюджетное учреждение","603022, Нижегородская область, Нижний Новгород, Окский съезд, 2,  226","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5262048489","1025203722004","Исключена из реестра","","","26.01.2018","Заявление организации №  абз. 3 пункта 20 Правил, утв. приказом № 205н"
"14","30.07.2010","Автономная некоммерческая организация Дополнительного проессионального образования Учебно-технический центр \"Сварка и контроль","Автономная некоммерческая организация","440068, Пензенская область, Пенза,  Терешковой, 7,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5837016608","1025801438783","Действующая организация","","","",""
"16","02.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Дом науки и Техники","ПО Негосударственное образовательное учреждение  профессионального образоваия","400005, Волгоградская область, Волгоград, им. Глазкова, 14,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3444143729","1073400000497","Действующая организация","","","",""
"17","02.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Школа безопасности","Общество с дополнительной ответственностью","141607, Московская область, Клин, Дзержинского, 6а,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5020081007","1165000052470","Действующая организация","","","",""
"22","04.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Институт промышленной безопасности, охраны труда и социального партнерства","ПО Негосударственное образовательное учреждение  профессионального образоваия","190098, Санкт-Петербург, Санкт-Петербург, Конногвардейский бул., 19,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","7826732280","1027810244087","Действующая организация","","","",""
"24","05.08.2010","Автономная некоммерческая организация \"Учебно-методический центр НИИ труда и социального страхования","Автономная некоммерческая организация","664007, Иркутская область, Иркутск, Ф. Энгельса, 8,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","3808187429","1093800002416","Действующая организация","","","",""
"25","05.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Башкирский межотраслевой институт охраны труда, экологии и безопасности на производстве","ПО Негосударственное образовательное учреждение  профессионального образоваия","450006, Республика Башкортостан, Уфа, Революционная, 55,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","2780073120","1020203223831","Действующая организация","","","",""
