Черненка|39|41|243|51
Василия|318|41|210|42
Нковлевича,|41|91|326|50
стариего|41|150|238|42
научного|317|150|239|44
сотрудника|41|200|302|44
За|41|40|57|42
участве|130|50|212|42
в|379|51|25|32
разработке|437|40|304|52
рекомендаций|777|40|364|52
по|1177|49|55|33
режиму|40|100|182|44
орошения|256|100|240|43
осужаемых|530|100|276|44
земель,|841|100|201|40
раз-|1082|99|123|43
работку|40|141|211|54
схемы|287|151|149|33
систем,|40|201|203|40
графиков|285|192|241|51
для|561|201|89|39
определения|684|200|336|42
полив-|1056|200|179|33
ных|40|250|90|34
норы,|163|251|142|42
за|350|250|52|33
обеспечение|438|241|334|43
певыжения|810|250|269|34
уро-|1111|251|124|42
хаев|39|301|120|32
на|193|301|57|32
мощных|283|301|183|39
торфяниках|500|293|305|51
на|838|300|56|32
20-50|933|291|148|43
пре-|1115|300|119|43
центов|41|351|180|38
с|256|353|23|31
помощью|318|352|209|40
глубокого|559|343|274|52
дренажа|868|353|236|43
Макарову|83|35|257|61
Вадентину|377|35|270|61
Сергеевну,|100|89|294|52
стариего|99|148|239|43
научного|375|148|238|43
-|20|210|32|29
Ссотрудника|99|198|303|44
За|41|40|56|43
разработку|131|39|303|54
способа|469|39|211|44
промыывки|715|49|242|42
засолен-|994|47|239|35
ных|41|101|88|33
земыелъь|166|100|177|33
с|378|101|23|32
кулътуёо!|439|91|271|92
риса,|744|99|142|42
за|932|98|56|33
внедре-|1022|98|211|43
ние|39|151|88|32
его|164|150|85|33
на|286|150|55|32
площади|377|150|209|39
3|596|135|64|63
тысячи|683|149|181|34
гектаров|898|149|241|42
и|1174|148|26|32
получение|41|201|269|43
чистого|346|200|208|34
дохода|591|199|181|40
270|810|190|85|43
рублей|927|189|182|53
с|1144|199|24|33
одного|40|250|177|39
гектара|254|250|232|43
Сидько|42|41|176|48
Алекоандра|255|40|303|52
Андреевича,|39|91|328|52
старнего|41|150|239|42
научного|317|149|239|45
сотрудника|40|200|305|44
За|41|40|57|42
участие|131|48|211|46
в|379|50|26|31
разработке|437|38|305|53
научных|776|47|213|44
еснов|1021|47|150|34
капитальных|42|98|334|34
промывок|409|97|241|44
засоленных|686|97|302|33
Почв,|1022|96|140|41
за|43|148|54|34
внедрение|654|147|271|43
в|961|147|26|33
усле-|1019|146|153|45
виях|40|199|121|33
Голодной|193|189|242|48
степи|468|198|151|33
на|653|197|57|33
Площади|747|196|210|41
8,3|991|186|89|52
ты-|1113|196|89|33
СЯЧИ|41|238|119|59
гвктаё|194|249|204|82
Экономический|438|238|396|44
эффект|869|239|178|52
о*|1082|247|58|33
вледрения|41|299|272|33
60|379|290|26|41
рублей|437|287|180|55
с|653|298|25|33
одного|714|297|178|39
Гектара|928|295|237|44
об|41|339|54|44
годовой|223|341|211|41
эффект|469|339|179|53
от|683|348|57|33
внедрения|776|347|273|43
соес|1082|347|120|33
тавляет|42|400|209|34
1200|319|390|86|43
тысяя|439|399|150|33
рублей|621|389|208|53
За|42|40|57|42
участие|131|50|213|43
в|379|50|26|32
разработке|439|40|303|53
схены|778|49|151|34
райовиро-|961|40|272|52
вания|42|99|150|33
земель|228|100|178|33
пе|441|100|54|33
способамы|532|89|243|44
и|807|99|27|32
технике|869|99|209|33
Пполи-|1114|98|150|34
ва,|42|149|80|41
В|165|150|26|31
составлении|227|149|330|33
системы|593|149|215|33
физико-геогра-|837|140|427|51
фических|40|190|244|51
единиц,|317|199|202|41
Природных|563|198|273|43
и|868|198|28|32
хозяйствен-|926|188|338|43
Ных|42|249|89|32
показателей,|166|239|353|50
определяющих|561|247|367|43
выбо|961|236|116|44
способов|42|287|242|44
и|318|298|26|31
техники|380|298|209|32
полива|625|296|204|36
Годовой|868|287|211|48
эко-|1114|295|120|35
номический|42|338|302|43
эффект|379|338|179|53
от|592|347|58|33
внедрения|685|346|272|42
22500|994|337|147|42
ты-|1175|347|89|32
сяч|42|396|88|33
рублей|163|386|206|53
Волчкову|79|48|240|53
Татьяну|352|49|214|52
Леонидовну,|75|98|329|53
‹|35|167|5|9
инкенере|77|157|242|43
Иванцову|40|40|242|53
Тамару|316|40|181|53
Ивановну,|532|40|262|52
старшего|40|98|239|44
инженера|317|98|241|44
За|40|40|57|43
участкие|130|50|211|44
в|377|50|27|32
равработке|436|39|304|54
схемы|775|49|151|33
райониро-|958|39|272|52
вания|40|100|150|33
орошаемых|224|100|271|43
земель|531|100|178|33
по|743|99|56|34
способам|836|88|242|45
и|1110|98|27|33
технике|41|152|209|33
понива,|288|151|199|42
за|532|150|54|33
обоснование|621|140|332|44
выбора|990|140|179|53
способов|40|192|243|43
и|316|202|27|32
техники|377|201|209|34
ПОЛЕва|624|201|177|34
в|837|202|26|31
зависимости|900|200|329|34
от|40|253|56|32
климатических|131|252|395|33
рельефных,|558|243|297|52
почвенных,|899|251|292|41
биологических|41|292|394|44
условий|464|294|240|51
Годовой|744|292|210|48
экономи-|990|301|240|34
ческий|40|344|181|42
эффект|256|344|177|52
от|466|353|57|32
внедрения|560|352|272|43
22500|869|342|149|43
тысяч|1051|352|147|33
рублей|39|389|205|61
`|505|412|3|3
Мясникову|41|40|274|53
Лыдию|349|41|152|47
Дмитриевну,|39|91|331|53
старвего|42|150|240|44
инженера|319|149|242|44
За|40|41|57|42
участие|129|50|213|44
в|378|50|26|33
разработке|435|39|304|53
конструкция|775|47|331|45
гнёзента|39|100|242|85
ГВ-3|315|90|120|43
(авторское|471|88|300|54
свидетельство|806|96|390|41
№|39|143|31|41
291689),|165|142|169|50
организацию|378|149|333|44
и|744|149|27|32
проведение|808|147|296|44
испытаний,|40|201|295|42
определение|377|200|332|44
основных|745|198|241|35
пара-|1021|198|150|43
метров|39|252|183|43
гидрантов|255|251|270|44
и|560|251|27|32
технических|623|242|331|43
условий|986|240|213|53
для|40|303|88|39
применения|166|302|300|43
их|500|302|59|33
в|591|302|26|31
оросительных|653|300|364|45
сис-|1052|299|117|34
темах|41|353|151|34
с|226|354|24|33
эффектоы|716|342|238|52
от|990|351|57|33
внед-|1080|350|151|40
рения|40|404|150|43
300|226|394|86|44
гидрантов|347|403|272|44
на|654|403|56|32
оросительной|744|392|362|53
си-|1143|400|88|34
стеме|41|455|149|33
совхоза|716|453|209|34
50|962|442|56|44
тысяч|1052|451|146|35
рублей|40|495|183|55
в|257|506|26|33
год,|317|505|110|42
с|469|506|24|31
Ээкономней|531|495|272|43
[|838|494|56|44
тонн|929|503|118|34
метал-|1079|502|183|34
ла|40|556|58|34
на|133|557|58|31
каждые|227|556|176|39
100|440|546|87|43
гидравнтов|559|555|299|42
new_document
Черненка|39|41|243|51
Василия|318|41|210|42
Нковлевича,|41|91|326|50
стариего|41|150|238|42
научного|317|150|239|44
сотрудника|41|200|302|44
За|41|40|57|42
участве|130|50|212|42
в|379|51|25|32
разработке|437|40|304|52
рекомендаций|777|40|364|52
по|1177|49|55|33
режиму|40|100|182|44
орошения|256|100|240|43
осужаемых|530|100|276|44
земель,|841|100|201|40
раз-|1082|99|123|43
работку|40|141|211|54
схемы|287|151|149|33
систем,|40|201|203|40
графиков|285|192|241|51
для|561|201|89|39
определения|684|200|336|42
полив-|1056|200|179|33
ных|40|250|90|34
норы,|163|251|142|42
за|350|250|52|33
обеспечение|438|241|334|43
певыжения|810|250|269|34
уро-|1111|251|124|42
хаев|39|301|120|32
на|193|301|57|32
мощных|283|301|183|39
торфяниках|500|293|305|51
на|838|300|56|32
20-50|933|291|148|43
пре-|1115|300|119|43
центов|41|351|180|38
с|256|353|23|31
помощью|318|352|209|40
глубокого|559|343|274|52
дренажа|868|353|236|43
Макарову|83|35|257|61
Вадентину|377|35|270|61
Сергеевну,|100|89|294|52
стариего|99|148|239|43
научного|375|148|238|43
-|20|210|32|29
Ссотрудника|99|198|303|44
За|41|40|56|43
разработку|131|39|303|54
способа|469|39|211|44
промыывки|715|49|242|42
засолен-|994|47|239|35
ных|41|101|88|33
земыелъь|166|100|177|33
с|378|101|23|32
кулътуёо!|439|91|271|92
риса,|744|99|142|42
за|932|98|56|33
внедре-|1022|98|211|43
ние|39|151|88|32
его|164|150|85|33
на|286|150|55|32
площади|377|150|209|39
3|596|135|64|63
тысячи|683|149|181|34
гектаров|898|149|241|42
и|1174|148|26|32
получение|41|201|269|43
чистого|346|200|208|34
дохода|591|199|181|40
270|810|190|85|43
рублей|927|189|182|53
с|1144|199|24|33
одного|40|250|177|39
гектара|254|250|232|43
Сидько|42|41|176|48
Алекоандра|255|40|303|52
Андреевича,|39|91|328|52
старнего|41|150|239|42
научного|317|149|239|45
сотрудника|40|200|305|44
За|41|40|57|42
участие|131|48|211|46
в|379|50|26|31
разработке|437|38|305|53
научных|776|47|213|44
еснов|1021|47|150|34
капитальных|42|98|334|34
промывок|409|97|241|44
засоленных|686|97|302|33
Почв,|1022|96|140|41
за|43|148|54|34
внедрение|654|147|271|43
в|961|147|26|33
усле-|1019|146|153|45
виях|40|199|121|33
Голодной|193|189|242|48
степи|468|198|151|33
на|653|197|57|33
Площади|747|196|210|41
8,3|991|186|89|52
ты-|1113|196|89|33
СЯЧИ|41|238|119|59
гвктаё|194|249|204|82
Экономический|438|238|396|44
эффект|869|239|178|52
о*|1082|247|58|33
вледрения|41|299|272|33
60|379|290|26|41
рублей|437|287|180|55
с|653|298|25|33
одного|714|297|178|39
Гектара|928|295|237|44
об|41|339|54|44
годовой|223|341|211|41
эффект|469|339|179|53
от|683|348|57|33
внедрения|776|347|273|43
соес|1082|347|120|33
тавляет|42|400|209|34
1200|319|390|86|43
тысяя|439|399|150|33
рублей|621|389|208|53
За|42|40|57|42
участие|131|50|213|43
в|379|50|26|32
разработке|439|40|303|53
схены|778|49|151|34
райовиро-|961|40|272|52
вания|42|99|150|33
земель|228|100|178|33
пе|441|100|54|33
способамы|532|89|243|44
и|807|99|27|32
технике|869|99|209|33
Пполи-|1114|98|150|34
ва,|42|149|80|41
В|165|150|26|31
составлении|227|149|330|33
системы|593|149|215|33
физико-геогра-|837|140|427|51
фических|40|190|244|51
единиц,|317|199|202|41
Природных|563|198|273|43
и|868|198|28|32
хозяйствен-|926|188|338|43
Ных|42|249|89|32
показателей,|166|239|353|50
определяющих|561|247|367|43
выбо|961|236|116|44
способов|42|287|242|44
и|318|298|26|31
техники|380|298|209|32
полива|625|296|204|36
Годовой|868|287|211|48
эко-|1114|295|120|35
номический|42|338|302|43
эффект|379|338|179|53
от|592|347|58|33
внедрения|685|346|272|42
22500|994|337|147|42
ты-|1175|347|89|32
сяч|42|396|88|33
рублей|163|386|206|53
Волчкову|79|48|240|53
Татьяну|352|49|214|52
Леонидовну,|75|98|329|53
‹|35|167|5|9
инкенере|77|157|242|43
Иванцову|40|40|242|53
Тамару|316|40|181|53
Ивановну,|532|40|262|52
старшего|40|98|239|44
инженера|317|98|241|44
За|40|40|57|43
участкие|130|50|211|44
в|377|50|27|32
равработке|436|39|304|54
схемы|775|49|151|33
райониро-|958|39|272|52
вания|40|100|150|33
орошаемых|224|100|271|43
земель|531|100|178|33
по|743|99|56|34
способам|836|88|242|45
и|1110|98|27|33
технике|41|152|209|33
понива,|288|151|199|42
за|532|150|54|33
обоснование|621|140|332|44
выбора|990|140|179|53
способов|40|192|243|43
и|316|202|27|32
техники|377|201|209|34
ПОЛЕва|624|201|177|34
в|837|202|26|31
зависимости|900|200|329|34
от|40|253|56|32
климатических|131|252|395|33
рельефных,|558|243|297|52
почвенных,|899|251|292|41
биологических|41|292|394|44
условий|464|294|240|51
Годовой|744|292|210|48
экономи-|990|301|240|34
ческий|40|344|181|42
эффект|256|344|177|52
от|466|353|57|32
внедрения|560|352|272|43
22500|869|342|149|43
тысяч|1051|352|147|33
рублей|39|389|205|61
`|505|412|3|3
Мясникову|41|40|274|53
Лыдию|349|41|152|47
Дмитриевну,|39|91|331|53
старвего|42|150|240|44
инженера|319|149|242|44
За|40|41|57|42
участие|129|50|213|44
в|378|50|26|33
разработке|435|39|304|53
конструкция|775|47|331|45
гнёзента|39|100|242|85
ГВ-3|315|90|120|43
(авторское|471|88|300|54
свидетельство|806|96|390|41
№|39|143|31|41
291689),|165|142|169|50
организацию|378|149|333|44
