,link,title,text
0,https://www.rbc.ru/politics/31/08/2016/57c6bb169a79476ebb394082,Bellingcat сообщила о массовом награждении россиян боевыми медалями,"

Группа Bellingcat опубликовала данные о тысячах боевых медалей, выданных российским военным в 2014–2015 годах. Исследователи связывают количество наград с возможным участием российских войск в конфликте на юго-востоке Украины







                                                    Фото: Юрий Смитюк/ТАСС
                                            


Россыпь медалей
Международная экспертно-журналистская группа Bellingcat опубликовала 31 августа доклад «Российские солдаты на Украине: дьявол в медалях». Авторы расследования изучили фотографии награжденных российских военных в социальных сетях и по их порядковым номерам определили количество награжденных в 2014–2015 годах.
Авторы доклада нашли в социальных сетях фотографии 19 медалей «За боевые отличия». На большей части полученных фотографий видны дата и порядковый номер выданной медали, которые позволяют установить общее число выданных медалей. «Если кто-то получил в начале месяца медаль с номером 1000, а в конце месяца кто-то другой получил награду под номером 2000, то это значит, что за месяц было выдано 1000 наград», — объяснил РБК один из авторов доклада Эрик Толер.
Исследователям удалось установить, что с ноября 2014 года по февраль 2016 года медаль «За боевые отличия» получили 4338 военнослужащих. Как отмечают авторы доклада, ссылаясь на «Военно-исторический журнал» (официальное издание Минобороны России), с 2003 по 2008 год такие награды получили 253 военных. В период с 2008-го по ноябрь 2014 года, в том числе во время грузино-осетинского конфликта в августе 2008 года, военное ведомство в среднем присуждало награду «За боевые отличия» в 15 раз реже, чем в изученный период.



Медаль «За боевые отличия» присуждается за участие в боевых действиях, говорит Толер. Учитывая сроки награждения, многие из наград были получены за участие в конфликте на востоке Украины, резюмирует исследователь.
Максимальное количество медалей (более 60 в день) было присвоено в декабре 2014 года, во время ожесточенных боев за Донецкий аэропорт. Кроме того, указывают авторы доклада, всплеск количества наград также пришелся на события в Дебальцево в феврале 2015 года. "
1,https://www.rbc.ru/rbcfreenews/57c5bcf79a7947e7e186fab5,Reuters узнал о несогласии Турции на перемирие с курдами в Сирии,"
Турецкие военные не согласились на перемирие с курдскими бойцами на севере Сирии, рассказали Reuters источники в военной сфере.
При этом накануне ​вице-премьер страны Нумар Куртулмуш заявил, что Турция не намерена вступать в войну, и ее операцию «Щит Евфрата» на севере Сирии нельзя расценивать как такой шаг.
Глава МИД Турции Мевлют Чавушоглу заявил, что военная операция будет продолжена, пока «все военные угрозы турецкой безопасности не будет устранены», передает агентство. Такое же мнение высказал и президент страны Реджеп Тайип Эрдоган.​ Он заявил, что турецкая армия будет бороться со всеми террористическими группировками.



Куртулмуш также в очередной раз заверил, что целью операции является очищение региона от «Исламского государства» (организация запрещена в России). Он отметил, что, помимо этого, Турция намерена помешать группировкам сирийских курдов организовать коридор, который, по мнению властей страны, разделит Сирию.
Турецкие танки вошли на территорию Сирии 24 августа. Дамаск обвинил Анкару в нарушении суверенитета страны. При этом власти Турции уверяют, что все стороны были проинформированы о начале операции.
"
2,https://www.rbc.ru/rbcfreenews/57c437629a7947344aa8a269,Турция заявила об отсутствии планов постоянного присутствия в Сирии,"
Турция не вступила войну, начав операцию «Щит Евфрата» на севере Сирии, и не намеревается сохранять там свое военное присутствие, заявил в эфире телеканала NTV ​вице-премьер страны Нумар Куртулмуш.
Он заверил, что «Турция не является оккупантом» и в планах руководства страны нет намерения «вступить в войну». При этом он отметил, что турецкая армия не намерена «наблюдать», если в регионе появляются угрозы против нее.
«Все заинтересованные стороны, включая Дамаск, были проинформированы о «Щите Евфрата». Мы уверены, что их об этом проинформировала Россия», — сказал Куртулмуш (цитата по Reuters).



Вице-премьер заверил, что целью операции является очищение региона от «Исламского государство» (организация запрещена в России). Он также заявил, что Турция намерена помешать группировкам сирийских курдов организовать коридор, который разделит Сирию.
Операция «Щит Евфрата» началась на севере Сирии 24 августа. Турция ввела на территорию страны порядка 40 танков, которые поддерживают около тысячи сирийских повстанцев. Дамаск обвинил Анкару в нарушении суверенитета страны.
"
3,https://www.rbc.ru/politics/28/08/2016/57c2c9e39a79476081d32d28,Маневры у границы: чего достигла Турция за пять дней операции в Сирии,"

Сирийская оппозиция в ходе турецкой операции за пять дней продвинулась на 10 км вглубь страны и взяла город Амарина. Конфликт на северной границе мешает Москве и Вашингтону выработать четкие договоренности по Сирии






Движение на юг
Турецкая операция «Щит Евфрата», начавшаяся 24 августа, продолжает развиваться в южном направлении. Силы «Свободной сирийской армии» (ССА) при поддержке Турции продвинулись на 10 км вглубь страны. Как и предсказывали ранее РБК эксперты, оппозиция столкнулась с сопротивлением курдских сил на юге от приграничного города Джераблус. Вялотекущие бои между «Свободной сирийской армией» при поддержке турецкой артиллерии, авиации, тяжелой бронированной техники и курдскими отрядами начались в городах Аль-Байда и Юсуф-Байк.
Силы обеих сторон параллельно продвигаются на запад, к городу Аль-Баб. Для курдов этот населенный пункт имеет решающее значение, так как позволит им соединить контролируемые районы на востоке и западе страны. Турецкие войска стараются этому помешать. На момент публикации текста город Аль-Баб находился под контролем ИГ (запрещена в России). Однако, по неподтвержденным данным, боевики оставили город и отошли вглубь захваченных территорий.
По словам старшего преподавателя кафедры департамента политической науки ВШЭ Леонида Исаева, Аль-Баб может стать местом столкновения между курдами и Турцией. По мнению Исаева, Вашингтон, который поддерживает и курдов, и турков, старается этого не допустить и пытается затормозить продвижение курдов дипломатическими способами.



Как отмечает Исаев, вариант, при котором курды через Аль-Баб соединят свои кантоны, полностью не устраивает Турцию. «Протурецкие территории будут отрезаны от остальной Сирии, и Турция потеряет во влиянии на сирийский конфликт», — резюмирует востоковед.
Силы и потери
WSJ сообщает, что на территории Сирии на данный момент находятся 380 солдат турецкого спецназа, 40 танков и около тысячи сирийских повстанцев. Ранее Reuters говорил о 5 тыс. сирийских боевиков, действующих при поддержке из Турции. "
4,https://www.rbc.ru/rbcfreenews/57bf08f79a7947ca1c2fce02,Эксперты назвали проверку в армии крупнейшей за полтора года,"
Объявленная в четверг внезапная проверка боеготовности российских вооруженных сил стала самыми крупными учениями, проводившимися в России за 1,5 года. Такое мнение высказал «РИА Новости» президент Академии геополитических проблем генерал-полковник Леонид Ивашов.
Собеседник связал это с «конкретной угрозой безопасности нашего государства», которую могут предотвратить «только армия и другие силовые ведомства». При этом эксперт подчеркнул, что решение о проведении таких маневров не было спонтанным. Он предположил, что они были предусмотрены заранее сформированным годовым планом боевой подготовки Вооруженных сил России.
«Нужно иметь в виду, что существует годовой план подготовки ВС РФ, хотя, конечно, какие-то правки вносятся на ходу. Если Запад, как сегодня, нагнетает военный психоз, если растет угроза терроризма у наших границ, то соответствующие коррективы вносятся и в план боевой подготовки. Думаю, что и нынешняя внезапная проверка является таким случаем», — сказал Ивашов.



С похожим мнением выступил и доктор военных наук Константин Сивков. По его мнению, нынешняя внезапная проверка станет важным сигналом для потенциальных военно-политических оппонентов России. Он указал на то, что интенсивность боевой подготовки российской армии растет последние три года. Эксперт связал это с «военной напряженностью в мире».
«Так, сегодня Турция вступила в войну в Сирии, США нарастили свою группировку у наших границ, и наше военное руководство принимает соответствующие меры», — приводит его слова «РИА Новости». "
5,https://www.rbc.ru/opinions/politics/25/08/2016/57beadd79a794757a385e8ad,Турецкая доля: зачем Эрдоган ввел войска в Сирию,"

Похоже, что Россия и Турция договорились о временном разграничении зон влияния в зоне конфликта

В ночь на 24 августа турецкая армия форсировала границу с Сирией: началась операция «Щит Евфрата», которая может изменить баланс сил в сирийском конфликте. Вопреки многим ожиданиям Реджеп Эрдоган показал, что даже крайне запутанная ситуация в стране не заставит его отказаться от амбиций в отношении Сирии, которая по-прежнему играет первостепенную роль во внешней политике Анкары.
Ритуальная цель
Официальная цель операции — борьба с терроризмом и, в частности, с «Исламским государством» (ИГ, ​​запрещенная в России организация), контролирующим территории вдоль турецко-сирийской границы от Джераблуса до ар-Раи. Однако это не более чем ритуальное заявление, характерное для всех внешних сил, принимающих участие в конфликте, от США до России. Вряд ли турецкому руководству понадобилось два года, чтобы разглядеть в ИГ врага, требующего немедленного уничтожения. Соединенные Штаты с первых дней появления ИГ подталкивали своих союзников в регионе — и прежде всего Турцию — к проведению наземной операции против джихадистов, однако все попытки Вашингтона заканчивались неудачно.
Безусловно, основная цель турецкого вторжения на территорию Сирии — курды. Именно они на сегодняшний день являются главным источником головной боли для Эрдогана. После срыва в июле 2015 года переговоров между турецким руководством и Рабочей партией Курдистана (РПК) на юго-востоке страны фактически вспыхнула гражданская война, длящаяся и по сей день. Ситуация накалилась до предела после несостоявшегося июльского переворота, когда, воспользовавшись хаосом в турецких политических и военных кругах, член исполкома РПК Мурат Карайылан заявил о готовности организации перейти к «бесконтрольной войне», в случае если Анкара не начнет переговоры с лидером курдов Абдаллахом Аджаланом, отбывающим тюремный срок.



Военные действия, которые с переменным успехом ведет турецкая армия против РПК с 1980-х годов, вряд ли способны решить курдскую проблему, особенно в период внутриполитической турбулентности. Это подталкивает Эрдогана к открытию «второго фронта» борьбы с курдами, только уже с сирийскими. Речь идет прежде всего о «Демократических силах Сирии» (SDF), основном союзнике РПК в соседней Сирии.
Курдская дуга
При этом обстановка в Сирии вынуждает Турцию действовать незамедлительно. В первую очередь это связано с недавними успехами курдов на северо-востоке провинции Алеппо. Взятие в начале августа города Манбидж фактически открыло им дорогу на Африну, что означает возможность объединения всех курдских кантонов в Сирии в единое территориальное образование, простирающееся практически вдоль всей турецко-сирийской границы. "
6,https://www.rbc.ru/politics/25/08/2016/57bd8ddd9a794799c6f816ac,На российских наемников в Сирии потратили до 10 млрд руб.,"

Использование «группы Вагнера» в сирийском конфликте обошлось в сумму до 10,3 млрд руб., подсчитал РБК. В нее входят зарплаты, проживание, питание бойцов и снабжение базы. Деньги — от государства и «частных инвесторов»






                Флаг Сирии



                                    
                                                    (Фото: Reuters/Pixstream)
                                            


Участие в сирийской войне «группы Вагнера», российского прототипа частной военной компании (ЧВК), стоило от 5,1 млрд до 10,3 млрд руб., подсчитал РБК. Траты взяли на себя государство и «высокопоставленные бизнесмены», рассказал офицер министерства обороны и два собеседника, знакомых с ходом операции. Называть имена «инвесторов» источники РБК отказываются даже в неофициальной беседе при выключенных диктофонах.
Впервые о «группе Вагнера» и ее участии в сирийской войне в октябре 2015 года написала «Фонтанка». Издание утверждало, что ранее наемников видели на юго-востоке Украины, где они принимали участие в боях на стороне самопровозглашенных республик. Об этом же писала и The Wall Street Journal, отмечая, что в Сирии из числа бойцов Вагнера погибли девять человек. В Минобороны России эту информацию тогда назвали «вбросом».
«Группа Вагнера» получила свое название по позывному руководителя отряда, рассказали РБК четыре источника, лично знакомых с Вагнером. ЧВК появилась на Ближнем Востоке незадолго до того, как осенью 2015 года Россия начала официально разворачивать свои базы, рассказал РБК офицер Минобороны и подтвердил источник, знакомый с ходом операции. В общей сложности рядом с Латакией и Алеппо располагались почти 2,5 тыс. человек, руководили операцией сотрудники ГРУ и ФСБ, отметил он.



База и ​бойцы
«Группа Вагнера» тренируется на базе в Молькино (Краснодарский край), где также располагаются силы 10-й отдельной бригады спецназа ГРУ Минобороны, объяснили РБК офицер ФСБ и один из бойцов, служивший под началом «Вагнера». ЧВК не платит за аренду зданий и участка, говорят два собеседника РБК, знакомых с устройством лагеря.
Содержание самой базы, как и остальных военных частей, находится на балансе Министерства обороны. Тендеры на услуги по вывозу мусора и перевозке белья, санитарные услуги, уборку территорий, теплоснабжение проводятся пакетами сразу на несколько десятков или сотен военных частей, сгруппированных по территориальному признаку. В среднем в 2015–2016 годах ведомство тратило на одну военную часть 14,7 млн руб. без учета засекреченных контрактов, следует из закупочной документации шести аукционов, где упоминается база в Краснодарском крае. "
7,https://www.rbc.ru/magazine/2016/09/57bac4309a79476d978e850d,,
8,https://www.rbc.ru/rbcfreenews/57bc64d79a79474a39573946,Лавров рассказал о предотвращении Россией удара США по Сирии в 2013 году,"
Россия предотвратила удар США по Сирии в 2013 году, убедив президента САР Башара Асада отказаться от химоружия. Об этом заявил министр иностранных дел России Сергей Лавров, передает ТАСС.
«Безусловно, последствия могли бы быть еще более разрушительными, если бы три года назад Россия не предотвратила удар США по Сирии, убедив Башара Асада избавиться от запасов химического оружия», — сказал он. По словам министра, «страшно представить, куда попали бы сейчас не только ПЗРК и прочие «обычные» вооружения, но и запасы этого оружия массового уничтожения».
Он добавил, что страны Запада не понимают, какое количество оружия и боеприпасов сейчас находится в руках боевиков на Ближнем Востоке. Лавров пояснил, что западные страны разрушили режимы Саддама Хуссейна и Муаммара Каддафи, в Ираке и в Ливии и надеялись, что там восторжествует демократия, однако этого не произошло. «Все оружие, включая ПЗРК и сотни тонн боеприпасов, бесследно исчезло», — подчеркнул он.



Неделю назад, 15 августа, министр обороны России Сергей Шойгу заявил, что НАТО планировало нанести массированный ракетный удар по Сирии, однако России удалось предотвратить это. «Это буквально там в суточной готовности стояло, если говорить только по крылатым ракетам, 624, на память говорю, крылатые ракеты и были готовы к нанесению массированного удара по Сирии», — заявил он.
В 2013 году ООН заявила о применении химического оружия в Сирии, где уже несколько лет шла гражданская война. Дамаск и оппозиция обвинили в этом друг друга. США начали готовить военную операцию в Сирии, но президент России Владимир Путин предложил передать химическое оружие Сирии под международный контроль. Это позволило урегулировать ситуацию.
"
9,https://www.rbc.ru/politics/22/08/2016/57baff359a7947b5abcc2cce,Иран не принимает: почему российские самолеты покинули авиабазу Хамадан,"

Использование ВКС РФ авиабазы в Иране продлилось меньше недели. Перед завершением миссии за предание ее огласке раскритиковал Москву министр обороны Ирана. В Тегеране могли увидеть имиджевый урон в таком сотрудничестве






                Боевой вылет самолетов ВКС РФ в Сирию с иранской авиабазы Хамадан, 16 августа 2016 г.





                                    
                                                    (Фото: МО РФ/ТАСС)
                                            


В понедельник Россия и Иран заявили, что использование Россией иранской авиабазы Хамадан на данном этапе прекращено. «Дальнейшее использование авиацией ВКС России авиабазы Хамадан в Исламской Республике Иран будет осуществляться на основе взаимных договоренностей по борьбе с терроризмом и в зависимости от складывающейся обстановки в Сирии», — заявил журналистам официальный представитель Минобороны Игорь Конашенков в понедельник. Все самолеты, по его словам, находятся на территории России (цитата по «Интерфаксу»). 
Российская военная авиация больше не использует иранскую авиабазу Хамадан, заявил официальный представитель МИД Ирана Бахрам Касими в понедельник на пресс-конференции.
Обе стороны в официальных заявлениях в понедельник подчеркивали, что сотрудничество не заканчивается и может быть продолжено. 



«Желание покрасоваться»
Известиям о прекращении использования Россией авиабазы предшествовало заявление министра обороны Ирана Хосейна Дехгана, который раскритиковал Россию за придание сотрудничеству публичности. Решение рассказать об использовании базы в СМИ без согласования с Ираном было продиктовано «желанием покрасоваться», заявил министр. «Разумеется, русским хочется показать, что они — супердержава и влиятельная страна, что они активно себя ведут в сфере безопасности и в этом регионе, и в мире», — сказал министр в интервью правительственному «Второму каналу» Ирана (цитата по ВВС). «За разглашением этой информации видится неуважительное отношение и желание покрасоваться», — указал Дехган. "
